,NODE_ID,정류소명,X좌표,Y좌표,법정동코드,법정동_구,법정동,academy_cnt,kindergarten_cnt,mart_cnt,restaurant_cnt,school_cnt,university_cnt,subway_cnt,tour_cnt,cafe_cnt,hospital_cnt,culture_cnt,univ_hospital_cnt,public_office_cnt,employee_cnt,alone_ratio,emp_corp_ratio,population_15to64,RIDE_SUM_6_10,ALIGHT_SUM_6_10,Label
11213,122000243,수도전기공고후문,127.065624,37.48478206,1168010300,강남구,개포동,57,3,1,73,4,0,1,0,17,30,1,0,0,22488,0.09808055303606011,5.416184971098266,29597,46014,6861,0
11214,122000244,수도전기공고후문,127.065984,37.485273,1168010300,강남구,개포동,60,3,1,97,4,0,1,0,15,18,1,0,0,22488,0.09808055303606011,5.416184971098266,29597,10165,30539,0
11215,122000245,디에이치아너힐즈,127.0682003,37.48450003,1168010300,강남구,개포동,24,3,0,60,4,0,0,0,8,10,1,0,0,22488,0.09808055303606011,5.416184971098266,29597,16187,8969,0
11216,122000246,개포자이프레지던스,127.0692036,37.48374423,1168010300,강남구,개포동,4,3,0,2,3,0,0,0,1,1,0,0,0,22488,0.09808055303606011,5.416184971098266,29597,52654,21851,0
11217,122000247,경기여고,127.067244,37.48653,1168010300,강남구,개포동,62,8,0,84,5,0,1,0,14,19,1,0,1,22488,0.09808055303606011,5.416184971098266,29597,57769,66513,0
11218,122000248,개포동역7번출구.개포시장,127.0661225,37.48848892,1168010300,강남구,개포동,60,8,0,84,6,0,1,3,14,19,1,0,1,22488,0.09808055303606011,5.416184971098266,29597,107314,74928,0
11219,122000249,개포주공5단지경기여고,127.0674712,37.48670758,1168010300,강남구,개포동,62,8,0,84,5,0,1,0,14,19,1,0,1,22488,0.09808055303606011,5.416184971098266,29597,175618,137225,0
11220,122000250,개포동역6번출구.개포시장,127.0664157,37.48843442,1168010300,강남구,개포동,60,7,0,84,5,0,1,2,14,19,1,0,1,22488,0.09808055303606011,5.416184971098266,29597,184128,119211,0
11221,122000251,개포시장.개포5단지상가,127.068071,37.48952,1168010300,강남구,개포동,60,7,0,85,5,0,2,2,14,19,1,0,1,22488,0.09808055303606011,5.416184971098266,29597,7405,20297,0
11222,122000252,개포시장.개포5단지상가,127.0684494,37.48931301,1168010300,강남구,개포동,63,7,2,85,5,0,2,1,14,21,1,0,1,22488,0.09808055303606011,5.416184971098266,29597,15544,8643,0
11223,122000253,양전초등학교,127.070593,37.490243,1168010300,강남구,개포동,64,10,2,92,4,0,2,1,17,23,1,0,2,22488,0.09808055303606011,5.416184971098266,29597,6696,15111,0
11224,122000254,개포6단지앞,127.0705987,37.48994883,1168010300,강남구,개포동,64,9,2,91,4,0,2,1,16,23,1,0,2,22488,0.09808055303606011,5.416184971098266,29597,38141,10657,0
11225,122000255,디에이치자이개포아파트,127.0757916,37.4922272,1168011400,강남구,일원동,24,14,3,79,5,0,2,1,23,26,1,0,2,13576,0.08581741965533302,7.175475687103594,24586,51178,57293,0
11226,122000256,개원중학교.대모산입구역2번출구,127.072156,37.492262,1168010300,강남구,개포동,51,12,2,49,3,0,1,2,13,21,4,0,3,22488,0.09808055303606011,5.416184971098266,29597,27995,58539,0
11227,122000257,개포주공7단지앞,127.0737268,37.488953,1168010300,강남구,개포동,53,13,3,57,5,0,1,0,12,24,0,0,2,22488,0.09808055303606011,5.416184971098266,29597,33413,22831,0
11228,122000258,연금매점,127.0747982,37.48824731,1168011400,강남구,일원동,21,12,2,17,3,0,1,0,10,22,0,0,1,13576,0.08581741965533302,7.175475687103594,24586,35956,41180,0
11229,122000259,현대아파트,127.0528285,37.48226538,1168010300,강남구,개포동,22,5,2,29,1,0,0,2,15,9,0,0,2,22488,0.09808055303606011,5.416184971098266,29597,5101,40985,0
11230,122000260,개포래미안포레스트,127.0540443,37.48036832,1168010300,강남구,개포동,18,9,2,29,3,0,0,2,15,9,0,0,2,22488,0.09808055303606011,5.416184971098266,29597,28138,57939,0
11231,122000261,능인선원앞,127.052254,37.47242465,1168010300,강남구,개포동,33,12,1,77,3,0,0,3,33,5,3,0,1,22488,0.09808055303606011,5.416184971098266,29597,1088,25382,0
11232,122000262,구룡산입구,127.061771,37.477298,1168010300,강남구,개포동,2,0,0,0,1,0,0,0,1,0,0,0,0,22488,0.09808055303606011,5.416184971098266,29597,32,2770,0
11233,122000263,능인선원앞,127.052214,37.47177047,1168010300,강남구,개포동,29,9,1,71,2,0,0,3,32,5,3,0,1,22488,0.09808055303606011,5.416184971098266,29597,16775,25475,0
11234,122000264,구룡사입구,127.0507511,37.47192069,1165010200,서초구,양재동,50,13,2,107,3,0,0,1,45,13,3,0,1,52897,0.1390147406036628,7.4946160385378295,22602,165756,33171,0
11235,122000265,국악고교사거리,127.048045,37.47452692,1165010200,서초구,양재동,82,18,2,419,5,0,0,1,104,34,7,0,2,52897,0.1390147406036628,7.4946160385378295,22602,281595,97856,0
11236,122000266,삼호물산,127.0452517,37.47724305,1165010200,서초구,양재동,57,8,1,447,0,0,0,4,120,31,6,0,2,52897,0.1390147406036628,7.4946160385378295,22602,345110,67652,0
11237,122000267,구룡초등학교,127.0530683,37.48075394,1168010300,강남구,개포동,21,8,2,48,1,0,0,2,21,11,0,0,3,22488,0.09808055303606011,5.416184971098266,29597,24008,13490,0
11238,122000268,광수빌딩,127.0493324,37.47906075,1168010300,강남구,개포동,41,13,0,240,4,0,0,3,62,30,7,0,3,22488,0.09808055303606011,5.416184971098266,29597,13867,26442,0
11239,122000269,국민은행그린공원,127.0468255,37.47876982,1168010300,강남구,개포동,47,9,0,413,1,0,0,4,102,31,7,0,2,22488,0.09808055303606011,5.416184971098266,29597,92525,29753,0
11240,122000270,포이사거리삼호물산,127.0451417,37.47843796,1168010300,강남구,개포동,56,8,1,465,0,0,0,3,127,36,8,0,1,22488,0.09808055303606011,5.416184971098266,29597,50976,27960,0
11241,122000271,포이사거리삼호물산,127.0451927,37.4782848,1168010300,강남구,개포동,58,8,1,466,0,0,0,3,124,36,8,0,1,22488,0.09808055303606011,5.416184971098266,29597,22084,242241,0
11242,122000272,국민은행그린공원,127.0472426,37.4785642,1168010300,강남구,개포동,46,9,0,408,3,0,0,4,97,31,6,0,3,22488,0.09808055303606011,5.416184971098266,29597,35657,93810,0
11243,122000273,광수빌딩,127.049494,37.47885073,1168010300,강남구,개포동,42,13,0,236,4,0,0,3,60,30,4,0,3,22488,0.09808055303606011,5.416184971098266,29597,50988,47817,0
11244,122000274,개포지구대,127.0512071,37.47944529,1168010300,강남구,개포동,40,15,2,143,4,0,0,3,44,17,2,0,2,22488,0.09808055303606011,5.416184971098266,29597,28171,20284,0
11245,122000275,구룡초등학교,127.0529957,37.48044748,1168010300,강남구,개포동,18,9,2,60,3,0,0,2,21,11,0,0,3,22488,0.09808055303606011,5.416184971098266,29597,49919,20910,0
11246,122000276,수서삼성아파트앞,127.0909893,37.4843994,1168011500,강남구,수서동,14,11,0,17,2,0,0,0,4,7,0,0,2,27696,0.14795421334632244,8.436186414864453,22544,131477,45783,0
11247,122000277,일원본동주민센터,127.0847498,37.48348852,1168011400,강남구,일원동,42,7,2,29,5,0,1,1,7,17,3,0,1,13576,0.08581741965533302,7.175475687103594,24586,94087,203111,0
