NODE_ID,정류소명,X좌표,Y좌표,법정동코드,법정동_구,법정동,academy_cnt,kindergarten_cnt,mart_cnt,restaurant_cnt,school_cnt,university_cnt,subway_cnt,tour_cnt,cafe_cnt,hospital_cnt,culture_cnt,univ_hospital_cnt,public_office_cnt,employee_cnt,alone_ratio,emp_corp_ratio,population_15to64,RIDE_SUM_6_10,ALIGHT_SUM_6_10
103900280,리버그린동아아파트,127.0382721,37.55334439,1120010800,성동구,응봉동,28,11,1,50,4,0,0,1,13,7,2,0,2,1237,0.07153532608695652,2.278084714548803,10394,532,1583
103900281,왕십리역6-1번출구,127.0376659,37.56099142,1120010700,성동구,행당동,77,5,2,785,3,0,4,3,146,74,8,0,7,16110,0.14330225421928477,5.059673366834171,31696,69184,40891
103900282,행당동서울숲더샵,127.0398827,37.55770043,1120010700,성동구,행당동,54,9,2,507,4,0,3,1,120,37,8,0,4,16110,0.14330225421928477,5.059673366834171,31696,3313,2428
103900283,한양대학교정문,127.0421228,37.55777611,1120010700,성동구,행당동,23,1,1,401,5,0,2,1,95,29,5,0,1,16110,0.14330225421928477,5.059673366834171,31696,23030,2462
103900284,한양대학교제2의학관,127.041986,37.55882011,1120010700,성동구,행당동,27,2,2,483,6,0,3,1,120,31,7,0,3,16110,0.14330225421928477,5.059673366834171,31696,3210,3988
103900285,한양대학교병원본관1층,127.0438016,37.55945987,1120010600,성동구,사근동,15,6,1,406,6,2,2,2,102,25,5,1,2,5582,0.3680136244000619,8.043227665706052,5450,522,25108
103900286,한양대학교병원응급실,127.0444909,37.55989575,1120010600,성동구,사근동,9,6,0,396,5,2,1,2,101,24,3,1,2,5582,0.3680136244000619,8.043227665706052,5450,2300,66534
103900287,한양대학교백남학술정보관,127.045845,37.55773422,1120010600,성동구,사근동,10,5,1,148,6,2,1,0,54,21,3,1,2,5582,0.3680136244000619,8.043227665706052,5450,73,15318
103900288,한양대학교생활과학대학,127.0465029,37.55680349,1120010600,성동구,사근동,6,3,0,70,5,2,1,0,35,19,3,1,0,5582,0.3680136244000619,8.043227665706052,5450,1523,24428
103900289,한양대학교종합기술연구원,127.0460706,37.5576911,1120010600,성동구,사근동,9,4,1,113,5,2,1,0,47,20,3,1,2,5582,0.3680136244000619,8.043227665706052,5450,236,22
103900290,한양대학교류마티스병원동관,127.0447487,37.55983221,1120010600,성동구,사근동,9,6,0,384,5,2,1,2,91,23,2,1,2,5582,0.3680136244000619,8.043227665706052,5450,8518,13091
103900291,한양대학교병원본관1층,127.0435712,37.55945161,1120010600,성동구,사근동,19,6,2,415,5,2,2,2,109,25,5,1,2,5582,0.3680136244000619,8.043227665706052,5450,1433,45
103900292,한양대학교동문회관,127.0417312,37.55882649,1120010700,성동구,행당동,26,3,2,483,6,0,4,1,121,31,8,0,4,16110,0.14330225421928477,5.059673366834171,31696,382,231
103900293,한양대학교정문,127.041801,37.55793984,1120010700,성동구,행당동,23,1,2,458,5,0,2,1,108,29,5,0,2,16110,0.14330225421928477,5.059673366834171,31696,382,476
103900294,행당동서울숲더샵,127.0400679,37.55806807,1120010700,성동구,행당동,50,6,2,508,5,0,4,1,121,37,9,0,4,16110,0.14330225421928477,5.059673366834171,31696,499,663
103900295,송정어린이집,127.0677474,37.54900258,1120011800,성동구,송정동,49,16,0,438,1,0,0,1,117,32,2,0,4,9574,0.2421277129594781,4.297127468581688,12130,17249,1324
103900296,성수이비즈센터,127.0632453,37.54651768,1120011500,성동구,성수동2가,19,7,0,260,1,0,0,1,94,11,4,0,0,80717,0.19271761805423857,6.700730532956999,20000,3041,3428
103900297,경수중학교입구,127.0603807,37.54357864,1120011500,성동구,성수동2가,32,3,1,349,3,0,1,4,149,32,8,0,0,80717,0.19271761805423857,6.700730532956999,20000,755,28545
103900298,성수역2번출구,127.057383,37.54448831,1120011500,성동구,성수동2가,27,7,2,507,1,0,1,3,183,38,10,0,2,80717,0.19271761805423857,6.700730532956999,20000,2026,115562
103900299,경동초등학교입구,127.0508062,37.54583236,1120011500,성동구,성수동2가,63,8,1,677,4,0,2,2,226,47,19,0,3,80717,0.19271761805423857,6.700730532956999,20000,12143,13116
104000001,군자교입구,127.0756461,37.55874099,1121510100,광진구,중곡동,33,7,1,374,0,0,2,1,80,44,5,0,2,24295,0.17658448921737369,3.001977017175337,60196,383877,191982
104000002,군자교입구,127.0749003,37.55879373,1121510900,광진구,군자동,26,8,1,322,0,1,2,0,64,31,5,0,1,12436,0.2856701349541568,5.639909297052154,15252,210133,180064
