NODE_ID,ARS_ID,정류소명,X좌표,Y좌표,법정동코드,법정동_구,법정동,행정동코드,행정동,academy_cnt,kindergarten_cnt,mart_cnt,restaurant_cnt,school_cnt,subway_cnt,tour_cnt,cafe_cnt,hospital_cnt,culture_cnt,public_office_cnt
122000246,23350,개포자이프레지던스,127.0692036,37.48374423,1168010300,강남구,개포동,1168067000,개포2동,4,3,0,2,3,0,0,1,1,0,0
122000247,23351,경기여고,127.067244,37.48653,1168010300,강남구,개포동,1168067000,개포2동,62,8,0,88,5,1,0,13,19,1,1
122000248,23352,개포동역7번출구.개포시장,127.0661225,37.48848892,1168010300,강남구,개포동,1168067000,개포2동,60,8,0,88,6,1,3,13,19,1,1
122000249,23353,개포주공5단지경기여고,127.0674712,37.48670758,1168010300,강남구,개포동,1168067000,개포2동,62,8,0,88,5,1,0,13,19,1,1
122000250,23354,개포동역6번출구.개포시장,127.0664157,37.48843442,1168010300,강남구,개포동,1168067000,개포2동,60,7,0,88,5,1,2,13,19,1,1
122000251,23355,개포시장.개포5단지상가,127.068071,37.48952,1168010300,강남구,개포동,1168067000,개포2동,60,7,0,89,5,2,2,13,19,1,1
122000252,23356,개포시장.개포5단지상가,127.0684494,37.48931301,1168010300,강남구,개포동,1168067000,개포2동,62,7,2,89,5,2,1,14,23,1,1
122000253,23357,양전초등학교,127.070593,37.490243,1168010300,강남구,개포동,1168067000,개포2동,65,9,2,96,4,2,1,17,26,1,2
122000254,23358,개포6단지앞,127.0705987,37.48994883,1168010300,강남구,개포동,1168067000,개포2동,65,8,2,95,4,2,1,16,26,1,2
122000255,23359,디에이치자이개포아파트,127.0757916,37.4922272,1168011400,강남구,일원동,1168067000,개포2동,24,13,3,78,5,2,1,24,26,1,2
122000256,23360,개원중학교.대모산입구역2번출구,127.072156,37.492262,1168010300,강남구,개포동,1168067000,개포2동,50,11,2,49,3,1,2,14,21,5,3
122000257,23361,개포주공7단지앞,127.0737268,37.488953,1168010300,강남구,개포동,1168067000,개포2동,54,12,3,58,5,1,0,13,27,0,2
122000258,23362,연금매점,127.0747982,37.48824731,1168011400,강남구,일원동,1168067000,개포2동,23,11,2,17,3,1,0,11,25,0,1
122000259,23363,현대아파트,127.0528285,37.48226538,1168010300,강남구,개포동,1168069000,개포4동,22,4,2,29,1,0,2,15,11,0,2
122000260,23364,개포래미안포레스트,127.0540443,37.48036832,1168010300,강남구,개포동,1168069000,개포4동,18,7,2,29,3,0,2,15,11,0,2
122000261,23365,능인선원앞,127.052254,37.47242465,1168010300,강남구,개포동,1168069000,개포4동,33,12,1,75,3,0,3,34,5,3,1
122000262,23366,구룡산입구,127.061771,37.477298,1168010300,강남구,개포동,1168066000,개포1동,2,0,0,0,1,0,0,1,0,0,0
122000263,23367,능인선원앞,127.052214,37.47177047,1168010300,강남구,개포동,1168069000,개포4동,28,9,1,70,2,0,3,33,5,3,1
122000264,23368,구룡사입구,127.0507511,37.47192069,1165010200,서초구,양재동,1168069000,개포4동,50,13,2,105,3,0,1,46,13,3,1
122000265,23369,국악고교사거리,127.048045,37.47452692,1165010200,서초구,양재동,1168069000,개포4동,82,18,2,411,5,0,1,106,34,7,2
122000266,23370,삼호물산,127.0452517,37.47724305,1165010200,서초구,양재동,1168069000,개포4동,57,8,1,440,0,0,4,124,31,6,2
122000267,23371,구룡초등학교,127.0530683,37.48075394,1168010300,강남구,개포동,1168069000,개포4동,21,7,2,48,1,0,2,22,13,0,3
122000268,23372,광수빌딩,127.0493324,37.47906075,1168010300,강남구,개포동,1168069000,개포4동,40,12,0,237,4,0,3,64,30,7,3
122000269,23373,국민은행그린공원,127.0468255,37.47876982,1168010300,강남구,개포동,1168069000,개포4동,45,8,0,407,1,0,4,105,31,7,2
122000270,23374,포이사거리삼호물산,127.0451417,37.47843796,1168010300,강남구,개포동,1168069000,개포4동,54,8,1,460,0,0,3,130,36,8,1
122000271,23375,포이사거리삼호물산,127.0451927,37.4782848,1168010300,강남구,개포동,1168069000,개포4동,57,8,1,460,0,0,3,128,36,8,1
122000272,23376,국민은행그린공원,127.0472426,37.4785642,1168010300,강남구,개포동,1168069000,개포4동,44,8,0,404,3,0,4,100,31,6,3
122000273,23377,광수빌딩,127.049494,37.47885073,1168010300,강남구,개포동,1168069000,개포4동,41,12,0,233,4,0,3,62,30,4,3
