,NODE_ID,정류소명,X좌표,Y좌표,법정동코드,법정동_구,법정동,academy_cnt,kindergarten_cnt,mart_cnt,restaurant_cnt,school_cnt,university_cnt,subway_cnt,tour_cnt,cafe_cnt,hospital_cnt,culture_cnt,univ_hospital_cnt,public_office_cnt,employee_cnt,alone_ratio,emp_corp_ratio,population_15to64,RIDE_SUM_6_10,ALIGHT_SUM_6_10
1685,104000107,국민은행신자양지점,127.0668747,37.53557191,1121510500,광진구,자양동,87,20,0,366,2,0,1,1,77,46,7,0,3,32054,0.15150096944574445,3.7263427109974425,66817,60559,18552
1686,104000108,신양초등학교앞,127.0692877,37.53491182,1121510500,광진구,자양동,102,22,0,293,4,0,1,0,77,43,6,0,4,32054,0.15150096944574445,3.7263427109974425,66817,22650,22246
1687,104000109,신양초등학교앞,127.0689474,37.53523371,1121510500,광진구,자양동,102,21,0,335,3,0,1,1,81,45,7,0,4,32054,0.15150096944574445,3.7263427109974425,66817,34418,11988
1688,104000110,뚝도변전소앞,127.0690251,37.53607709,1121510500,광진구,자양동,101,21,1,445,4,0,1,2,122,60,10,0,4,32054,0.15150096944574445,3.7263427109974425,66817,74142,113330
1689,104000111,광진문화예술회관,127.0701692,37.53856525,1121510500,광진구,자양동,74,13,1,863,3,0,2,4,194,85,8,0,0,32054,0.15150096944574445,3.7263427109974425,66817,195471,337679
1690,104000112,건국대학교앞,127.0748754,37.53844611,1121510500,광진구,자양동,33,9,1,263,4,0,1,2,83,32,10,0,1,32054,0.15150096944574445,3.7263427109974425,66817,60990,44171
1691,104000116,신자초등학교앞,127.074922,37.530768,1121510500,광진구,자양동,101,18,0,183,2,0,0,2,43,20,1,0,2,32054,0.15150096944574445,3.7263427109974425,66817,119,38322
1692,104000117,자양우성아파트앞,127.0735185,37.53368647,1121510500,광진구,자양동,132,27,0,211,5,0,0,0,63,26,1,0,3,32054,0.15150096944574445,3.7263427109974425,66817,40005,25205
1693,104000118,자양우성아파트앞,127.0734067,37.53394696,1121510500,광진구,자양동,133,26,1,226,5,0,0,0,69,30,3,0,3,32054,0.15150096944574445,3.7263427109974425,66817,156470,14226
1694,104000119,자양고교앞,127.0711714,37.53457909,1121510500,광진구,자양동,130,22,1,303,4,0,0,0,89,38,7,0,3,32054,0.15150096944574445,3.7263427109974425,66817,88680,26335
1695,104000120,자양고교앞,127.0713601,37.53431586,1121510500,광진구,자양동,134,22,1,272,4,0,0,0,79,38,7,0,3,32054,0.15150096944574445,3.7263427109974425,66817,35508,34123
1696,104000121,대동아파트앞,127.068967,37.536419,1121510500,광진구,자양동,96,21,1,488,3,0,1,3,138,76,10,0,4,32054,0.15150096944574445,3.7263427109974425,66817,42690,43759
1697,104000122,국민은행신자양지점,127.0673127,37.53566357,1121510500,광진구,자양동,88,20,0,382,3,0,1,1,82,46,7,0,3,32054,0.15150096944574445,3.7263427109974425,66817,85063,46821
1698,104000123,노룬산시장,127.0626913,37.53950299,1121510500,광진구,자양동,38,5,0,470,2,0,0,4,126,42,7,0,2,32054,0.15150096944574445,3.7263427109974425,66817,71981,55040
1699,104000124,건대입구역6번출구,127.0672789,37.54082688,1121510500,광진구,자양동,68,10,1,1000,0,0,2,6,219,79,7,0,0,32054,0.15150096944574445,3.7263427109974425,66817,33107,74583
1700,104000125,건대로데오거리입구,127.0699258,37.53891929,1121510500,광진구,자양동,72,12,1,913,2,0,2,4,203,84,8,0,0,32054,0.15150096944574445,3.7263427109974425,66817,160463,433617
1701,104000126,노룬산시장앞,127.0629447,37.53680587,1121510500,광진구,자양동,26,6,0,365,1,0,0,2,55,25,5,0,3,32054,0.15150096944574445,3.7263427109974425,66817,50169,51322
1702,104000127,영동대교북단,127.0611623,37.53656802,1121510500,광진구,자양동,19,5,0,286,3,0,0,1,52,19,4,0,2,32054,0.15150096944574445,3.7263427109974425,66817,130336,124686
1703,104000128,노룬산시장앞,127.0628993,37.53660675,1121510500,광진구,자양동,26,6,0,354,1,0,0,2,52,25,4,0,3,32054,0.15150096944574445,3.7263427109974425,66817,55853,10992
